weight,source,target,hierachy_source,hierachy_target
4e-05,STPc,7m,0.7522,0.8568
0.00023,STPc,7B,0.7522,0.8981
0.0,STPc,F2,0.7522,0.9095
0.40955,STPc,STPi,0.7522,0.9132
0.0,STPc,PROm,0.7522,0.9172
0.00072,STPc,F7,0.7522,0.9388
0.00079,STPc,8B,0.7522,0.9537
0.0124,STPc,STPr,0.7522,0.9973
1e-05,STPc,24c,0.7522,1.0
2e-05,7A,V1,0.7709,0.0
4e-05,7A,V2,0.7709,0.1752
0.00304,7A,V4,0.7709,0.4201
0.02076,7A,DP,0.7709,0.5842
5e-05,7A,MT,0.7709,0.6062
0.00054,7A,8m,0.7709,0.6532
0.01003,7A,5,0.7709,0.6981
0.00047,7A,8l,0.7709,0.7029
0.00214,7A,TEO,0.7709,0.7038
2e-05,7A,2,0.7709,0.7059
0.00011,7A,F1,0.7709,0.723
0.01364,7A,STPc,0.7709,0.7522
0.0,7A,7A,0.7709,0.7709
0.01481,7A,46d,0.7709,0.806
0.0,7A,10,0.7709,0.8206
0.00382,7A,9/46v,0.7709,0.8275
0.00295,7A,9/46d,0.7709,0.8334
0.00133,7A,F5,0.7709,0.8379
0.0028,7A,TEpd,0.7709,0.8424
0.0,7A,PBr,0.7709,0.851
0.02161,7A,7m,0.7709,0.8568
0.00048,7A,7B,0.7709,0.8981
0.0071,7A,F2,0.7709,0.9095
0.04167,7A,STPi,0.7709,0.9132
0.0,7A,PROm,0.7709,0.9172
0.00016,7A,F7,0.7709,0.9388
0.00745,7A,8B,0.7709,0.9537
0.00252,7A,STPr,0.7709,0.9973
0.0,7A,24c,0.7709,1.0
0.0,46d,V1,0.806,0.0
0.00226,46d,V2,0.806,0.1752
0.0,46d,V4,0.806,0.4201
0.00026,46d,DP,0.806,0.5842
2e-05,46d,MT,0.806,0.6062
0.03663,46d,8m,0.806,0.6532
0.0,46d,5,0.806,0.6981
7e-05,46d,8l,0.806,0.7029
2e-05,46d,TEO,0.806,0.7038
2e-05,46d,2,0.806,0.7059
7e-05,46d,F1,0.806,0.723
0.00447,46d,STPc,0.806,0.7522
0.00052,46d,7A,0.806,0.7709
0.0,46d,46d,0.806,0.806
0.07652,46d,10,0.806,0.8206
0.00012,46d,9/46v,0.806,0.8275
0.59594,46d,9/46d,0.806,0.8334
5e-05,46d,F5,0.806,0.8379
7e-05,46d,TEpd,0.806,0.8424
0.00047,46d,PBr,0.806,0.851
0.00075,46d,7m,0.806,0.8568
0.0,46d,7B,0.806,0.8981
0.00013,46d,F2,0.806,0.9095
0.01332,46d,STPi,0.806,0.9132
0.0,46d,PROm,0.806,0.9172
0.00743,46d,F7,0.806,0.9388
0.03898,46d,8B,0.806,0.9537
0.00059,46d,STPr,0.806,0.9973
0.0031,46d,24c,0.806,1.0
0.0,10,V1,0.8206,0.0
1e-05,10,V2,0.8206,0.1752
0.0,10,V4,0.8206,0.4201
0.00011,10,DP,0.8206,0.5842
0.0,10,MT,0.8206,0.6062
0.00572,10,8m,0.8206,0.6532
0.0,10,5,0.8206,0.6981
0.00044,10,8l,0.8206,0.7029
0.0,10,TEO,0.8206,0.7038
0.0,10,2,0.8206,0.7059
0.0,10,F1,0.8206,0.723
0.00466,10,STPc,0.8206,0.7522
0.00017,10,7A,0.8206,0.7709
0.18685,10,46d,0.8206,0.806
0.0,10,10,0.8206,0.8206
2e-05,10,9/46v,0.8206,0.8275
0.01123,10,9/46d,0.8206,0.8334
1e-05,10,F5,0.8206,0.8379
1e-05,10,TEpd,0.8206,0.8424
0.0263,10,PBr,0.8206,0.851
0.0,10,7m,0.8206,0.8568
0.0,10,7B,0.8206,0.8981
7e-05,10,F2,0.8206,0.9095
0.02053,10,STPi,0.8206,0.9132
0.0,10,PROm,0.8206,0.9172
0.00202,10,F7,0.8206,0.9388
0.01865,10,8B,0.8206,0.9537
0.03479,10,STPr,0.8206,0.9973
0.00643,10,24c,0.8206,1.0
0.0,9/46v,V1,0.8275,0.0
0.0,9/46v,V2,0.8275,0.1752
0.0,9/46v,V4,0.8275,0.4201
0.0,9/46v,DP,0.8275,0.5842
0.0,9/46v,MT,0.8275,0.6062
0.03396,9/46v,8m,0.8275,0.6532
7e-05,9/46v,5,0.8275,0.6981
0.003,9/46v,8l,0.8275,0.7029
0.0,9/46v,TEO,0.8275,0.7038
0.00178,9/46v,2,0.8275,0.7059
6e-05,9/46v,F1,0.8275,0.723
0.00097,9/46v,STPc,0.8275,0.7522
0.02197,9/46v,7A,0.8275,0.7709
0.03732,9/46v,46d,0.8275,0.806
0.00024,9/46v,10,0.8275,0.8206
0.0,9/46v,9/46v,0.8275,0.8275
0.01425,9/46v,9/46d,0.8275,0.8334
0.01728,9/46v,F5,0.8275,0.8379
0.0001,9/46v,TEpd,0.8275,0.8424
1e-05,9/46v,PBr,0.8275,0.851
0.00077,9/46v,7m,0.8275,0.8568
0.01967,9/46v,7B,0.8275,0.8981
0.0051,9/46v,F2,0.8275,0.9095
0.0007,9/46v,STPi,0.8275,0.9132
0.00899,9/46v,PROm,0.8275,0.9172
0.00926,9/46v,F7,0.8275,0.9388
0.0164,9/46v,8B,0.8275,0.9537
0.00026,9/46v,STPr,0.8275,0.9973
0.0066,9/46v,24c,0.8275,1.0
0.0,9/46d,V1,0.8334,0.0
0.00181,9/46d,V2,0.8334,0.1752
9e-05,9/46d,V4,0.8334,0.4201
5e-05,9/46d,DP,0.8334,0.5842
0.00023,9/46d,MT,0.8334,0.6062
0.22153,9/46d,8m,0.8334,0.6532
0.00097,9/46d,5,0.8334,0.6981
0.0147,9/46d,8l,0.8334,0.7029
1e-05,9/46d,TEO,0.8334,0.7038
5e-05,9/46d,2,0.8334,0.7059
5e-05,9/46d,F1,0.8334,0.723
0.02562,9/46d,STPc,0.8334,0.7522
0.00073,9/46d,7A,0.8334,0.7709
0.19572,9/46d,46d,0.8334,0.806
0.00789,9/46d,10,0.8334,0.8206
0.01684,9/46d,9/46v,0.8334,0.8275
0.0,9/46d,9/46d,0.8334,0.8334
0.00064,9/46d,F5,0.8334,0.8379
0.0,9/46d,TEpd,0.8334,0.8424
0.00054,9/46d,PBr,0.8334,0.851
0.0347,9/46d,7m,0.8334,0.8568
0.00111,9/46d,7B,0.8334,0.8981
0.02186,9/46d,F2,0.8334,0.9095
0.00649,9/46d,STPi,0.8334,0.9132
0.00033,9/46d,PROm,0.8334,0.9172
0.05593,9/46d,F7,0.8334,0.9388
0.07097,9/46d,8B,0.8334,0.9537
0.00015,9/46d,STPr,0.8334,0.9973
0.00304,9/46d,24c,0.8334,1.0
5e-05,F5,V1,0.8379,0.0
3e-05,F5,V2,0.8379,0.1752
0.0,F5,V4,0.8379,0.4201
0.0,F5,DP,0.8379,0.5842
0.0,F5,MT,0.8379,0.6062
3e-05,F5,8m,0.8379,0.6532
0.0001,F5,5,0.8379,0.6981
0.00082,F5,8l,0.8379,0.7029
0.0,F5,TEO,0.8379,0.7038
0.19871,F5,2,0.8379,0.7059
0.00417,F5,F1,0.8379,0.723
0.0,F5,STPc,0.8379,0.7522
7e-05,F5,7A,0.8379,0.7709
0.0001,F5,46d,0.8379,0.806
9e-05,F5,10,0.8379,0.8206
0.0028,F5,9/46v,0.8379,0.8275
3e-05,F5,9/46d,0.8379,0.8334
0.0,F5,F5,0.8379,0.8379
3e-05,F5,TEpd,0.8379,0.8424
4e-05,F5,PBr,0.8379,0.851
0.0,F5,7m,0.8379,0.8568
0.07564,F5,7B,0.8379,0.8981
0.0011,F5,F2,0.8379,0.9095
2e-05,F5,STPi,0.8379,0.9132
0.04437,F5,PROm,0.8379,0.9172
4e-05,F5,F7,0.8379,0.9388
4e-05,F5,8B,0.8379,0.9537
4e-05,F5,STPr,0.8379,0.9973
0.00828,F5,24c,0.8379,1.0
0.0,TEpd,V1,0.8424,0.0
0.00018,TEpd,V2,0.8424,0.1752
0.02739,TEpd,V4,0.8424,0.4201
8e-05,TEpd,DP,0.8424,0.5842
2e-05,TEpd,MT,0.8424,0.6062
3e-05,TEpd,8m,0.8424,0.6532
0.0,TEpd,5,0.8424,0.6981
0.00459,TEpd,8l,0.8424,0.7029
0.13763,TEpd,TEO,0.8424,0.7038
0.0,TEpd,2,0.8424,0.7059
0.0,TEpd,F1,0.8424,0.723
1e-05,TEpd,STPc,0.8424,0.7522
0.00202,TEpd,7A,0.8424,0.7709
2e-05,TEpd,46d,0.8424,0.806
0.0,TEpd,10,0.8424,0.8206
0.00142,TEpd,9/46v,0.8424,0.8275
0.0,TEpd,9/46d,0.8424,0.8334
1e-05,TEpd,F5,0.8424,0.8379
0.0,TEpd,TEpd,0.8424,0.8424
6e-05,TEpd,PBr,0.8424,0.851
0.0,TEpd,7m,0.8424,0.8568
0.0,TEpd,7B,0.8424,0.8981
0.0,TEpd,F2,0.8424,0.9095
3e-05,TEpd,STPi,0.8424,0.9132
0.0,TEpd,PROm,0.8424,0.9172
0.0,TEpd,F7,0.8424,0.9388
0.0,TEpd,8B,0.8424,0.9537
0.00043,TEpd,STPr,0.8424,0.9973
0.0,TEpd,24c,0.8424,1.0
0.0,PBr,V1,0.851,0.0
1e-05,PBr,V2,0.851,0.1752
2e-05,PBr,V4,0.851,0.4201
6e-05,PBr,DP,0.851,0.5842
0.0,PBr,MT,0.851,0.6062
0.00044,PBr,8m,0.851,0.6532
0.0,PBr,5,0.851,0.6981
0.0,PBr,8l,0.851,0.7029
0.0,PBr,TEO,0.851,0.7038
0.0,PBr,2,0.851,0.7059
0.0,PBr,F1,0.851,0.723
0.05289,PBr,STPc,0.851,0.7522
2e-05,PBr,7A,0.851,0.7709
0.0042,PBr,46d,0.851,0.806
0.00887,PBr,10,0.851,0.8206
0.0,PBr,9/46v,0.851,0.8275
0.00412,PBr,9/46d,0.851,0.8334
0.0,PBr,F5,0.851,0.8379
0.0,PBr,TEpd,0.851,0.8424
0.0,PBr,PBr,0.851,0.851
0.00022,PBr,7m,0.851,0.8568
0.0,PBr,7B,0.851,0.8981
0.0,PBr,F2,0.851,0.9095
0.28423,PBr,STPi,0.851,0.9132
1e-05,PBr,PROm,0.851,0.9172
0.00013,PBr,F7,0.851,0.9388
0.00093,PBr,8B,0.851,0.9537
0.0678,PBr,STPr,0.851,0.9973
0.00011,PBr,24c,0.851,1.0
3e-05,7m,V1,0.8568,0.0
0.00145,7m,V2,0.8568,0.1752
0.00037,7m,V4,0.8568,0.4201
0.01343,7m,DP,0.8568,0.5842
0.00091,7m,MT,0.8568,0.6062
0.01857,7m,8m,0.8568,0.6532
0.00711,7m,5,0.8568,0.6981
0.00058,7m,8l,0.8568,0.7029
0.0,7m,TEO,0.8568,0.7038
1e-05,7m,2,0.8568,0.7059
0.00031,7m,F1,0.8568,0.723
0.01168,7m,STPc,0.8568,0.7522
0.07848,7m,7A,0.8568,0.7709
0.00429,7m,46d,0.8568,0.806
0.0,7m,10,0.8568,0.8206
0.00124,7m,9/46v,0.8568,0.8275
0.02158,7m,9/46d,0.8568,0.8334
3e-05,7m,F5,0.8568,0.8379
1e-05,7m,TEpd,0.8568,0.8424
1e-05,7m,PBr,0.8568,0.851
0.0,7m,7m,0.8568,0.8568
1e-05,7m,7B,0.8568,0.8981
0.03169,7m,F2,0.8568,0.9095
9e-05,7m,STPi,0.8568,0.9132
0.0,7m,PROm,0.8568,0.9172
0.01341,7m,F7,0.8568,0.9388
0.0384,7m,8B,0.8568,0.9537
6e-05,7m,STPr,0.8568,0.9973
0.00165,7m,24c,0.8568,1.0
0.0,7B,V1,0.8981,0.0
4e-05,7B,V2,0.8981,0.1752
0.0,7B,V4,0.8981,0.4201
0.0,7B,DP,0.8981,0.5842
0.0017,7B,MT,0.8981,0.6062
0.00019,7B,8m,0.8981,0.6532
0.02179,7B,5,0.8981,0.6981
0.0,7B,8l,0.8981,0.7029
0.0,7B,TEO,0.8981,0.7038
0.00308,7B,2,0.8981,0.7059
0.00094,7B,F1,0.8981,0.723
0.00989,7B,STPc,0.8981,0.7522
0.39727,7B,7A,0.8981,0.7709
0.0,7B,46d,0.8981,0.806
0.0,7B,10,0.8981,0.8206
0.0127,7B,9/46v,0.8981,0.8275
0.00025,7B,9/46d,0.8981,0.8334
0.03663,7B,F5,0.8981,0.8379
0.0,7B,TEpd,0.8981,0.8424
0.0,7B,PBr,0.8981,0.851
0.01863,7B,7m,0.8981,0.8568
0.0,7B,7B,0.8981,0.8981
0.00293,7B,F2,0.8981,0.9095
8e-05,7B,STPi,0.8981,0.9132
0.00066,7B,PROm,0.8981,0.9172
0.0,7B,F7,0.8981,0.9388
0.0,7B,8B,0.8981,0.9537
0.00016,7B,STPr,0.8981,0.9973
4e-05,7B,24c,0.8981,1.0
0.0,F2,V1,0.9095,0.0
0.0,F2,V2,0.9095,0.1752
0.0,F2,V4,0.9095,0.4201
